Carimbo de data/hora,Você é estudante da UFV em qual nível?,Marque o curso de graduação que você faz,Selecione o curso de mestrado que você faz,Selecione o curso de doutorado que você faz,Selecione o curso de pós-graduação lato-sensu (especialização) que você faz,"Em relação ao seu contato com ferramentas de Inteligência Artificial, como você se classificaria?","Em relação às ferramentas de IA listadas a seguir, marque o seu grau de contato com cada uma delas [ChatGPT]","Em relação às ferramentas de IA listadas a seguir, marque o seu grau de contato com cada uma delas [Gemini (Google)]","Em relação às ferramentas de IA listadas a seguir, marque o seu grau de contato com cada uma delas [Llama (Meta AI)]","Em relação às ferramentas de IA listadas a seguir, marque o seu grau de contato com cada uma delas [Midjourney]","Em relação às ferramentas de IA listadas a seguir, marque o seu grau de contato com cada uma delas [DALL-E]","Em relação às ferramentas de IA listadas a seguir, marque o seu grau de contato com cada uma delas [Deepseek]","Em relação às ferramentas de IA listadas a seguir, marque o seu grau de contato com cada uma delas [Outras]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Uso para organizar e orientar meus estudos]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Uso para conferir respostas a exercícios e atividades]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Incorporo soluções fornecidas pela ferramenta aos meus trabalhos e atividades]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Emprego respostas fornecidas pela IA aos meus trabalhos]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Uso para orientar a busca, coleta e análise de material de estudo ou pesquisa]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Uso para automatizar tarefas secundárias ou braçais durante meus estudos ou pesquisa]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Peço para a ferramenta fazer resumos de materiais que forneço a ela]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Faço análise de dados usando a ferramenta]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Uso para programar ou me auxiliar com programação]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Uso para correção ou revisão de textos]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Uso para produzir imagens a serem incluídas em meus trabalhos]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Uso para analisar imagens que forneço à ferramenta]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Uso para me auxiliar com matemática]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Uso para me auxiliar com estatística]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Faço apresentações de slides ou pôsteres usando a ferramenta]","Se você faz ou consegue imaginar usos que não foram contemplados na questão anterior, descreva-os aqui. Se for algo que já pratica, indique também a frequência de uso.",O que você entende por IA (Inteligência Artificial)?,"Em relação a IA e o futuro dos estudos e do trabalho, como você se sente?",Qual(is) tipo(s) de debate sobre o tema da Inteligência Artificial você gostaria de ver dentro da UFV?
10/04/2025 15:45:16,Estudante de graduação,Agronegócio,,,,Incorporei ao meu dia-a-dia,Uso corriqueiramente,Somente testei,Apenas ouvi falar,"Desconheço, Apenas ouvi falar",Somente testei,Desconheço,Apenas ouvi falar,"Nunca usei, mas tenho curiosidade",Com frequência,Esporadicamente,Esporadicamente,Com frequência,"Nunca usei, mas tenho curiosidade",Com frequência,Esporadicamente,Esporadicamente,Esporadicamente,Com frequência,Esporadicamente,Sempre,Sempre,"Nunca usei, mas tenho curiosidade",,Prefiro não opinar,"Vejo com bons olhos a adoção de IA nas atividades humanas, mas mantendo certa desconfiança","Ética, Segurança e privacidade, Impacto na pesquisa, Impacto na qualidade de ensino"
10/04/2025 16:00:38,Estudante de graduação,Agronomia,,,,Incorporei ao meu dia-a-dia,Uso corriqueiramente,Somente testei,Apenas ouvi falar,Apenas ouvi falar,Apenas ouvi falar,Uso corriqueiramente,Uso corriqueiramente,Com frequência,Com frequência,Sempre,Esporadicamente,Com frequência,Com frequência,Esporadicamente,Esporadicamente,Esporadicamente,Esporadicamente,Nunca usei e não pretendo,Com frequência,"Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade",Esporadicamente,,"Entendo, como uma ferramenta de acesso a todos que te auxilia na fragmentação de tarefas a serem executadas, facilita e muito em buscas que demandariam tempo e cansaço mental apenas para encontrar a informação. Mas sei que o nosso sistema de ensino não está preparado para as IA, as atividades avaliativas precisam ser reformuladas. Provas já não medem conhecimento a muito tempo, resumos com as IA ficou a coisa mais fácil de se fazer, ""copia e cola"" . A decoreba não é mais uma necessidade, oque precisa é buscar a participação dos alunos nas aulas, instiga los a discutir sobre oque eles sabem a respeito do conteudo, já que hoje o acesso a muitas informacoes é facilitado. O professor não perderá lugar para as IA mas precisaram mudar a forma de conduzir cada disciplina.","Tenho receio ou medo desta tecnologia, Acredito que é algo que veio para ficar, Acredito que vai potencializar as habilidades e capacidades humanas, Vejo com bons olhos a adoção de IA nas atividades humanas, mas mantendo certa desconfiança","Impacto na pesquisa, Impacto na qualidade de ensino"
10/04/2025 16:12:22,Estudante de graduação,Ciências Biológicas (Bacharelado/Licenciatura),,,,Uso corriqueiramente,Uso corriqueiramente,Uso corriqueiramente,Desconheço,Somente testei,Desconheço,Apenas ouvi falar,Apenas ouvi falar,Com frequência,Com frequência,Esporadicamente,Nunca usei e não pretendo,"Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade",Nunca usei e não pretendo,"Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade",Esporadicamente,Nunca usei e não pretendo,Nunca usei e não pretendo,Com frequência,Com frequência,Nunca usei e não pretendo,,Uma ferramenta de otimização ,"Acredito que é algo que veio para ficar, Vejo com bons olhos a adoção de IA nas atividades humanas, mas mantendo certa desconfiança","Ética, Segurança e privacidade"
10/04/2025 16:31:12,Estudante de graduação,Matemática (Licenciatura - Noturno),,,,Incorporei ao meu dia-a-dia,Assino o serviço pago (se houver),Somente testei,Apenas ouvi falar,"Desconheço, Apenas ouvi falar",Somente testei,Uso corriqueiramente,Uso corriqueiramente,Com frequência,Com frequência,Com frequência,Com frequência,Com frequência,Sempre,Sempre,Com frequência,Esporadicamente,Sempre,Nunca usei e não pretendo,Sempre,Sempre,Esporadicamente,Nunca usei e não pretendo,,É uma tecnologia desenvolvida para automatizar alguns processos,"Acredito que é algo que veio para ficar, Acredito que é uma ameaça à qualidade do aprendizado humano, Acredito que é uma ameaça ao trabalho humano",Impacto na qualidade de ensino
10/04/2025 16:47:34,Estudante de graduação,Serviço Social,,,,Uso corriqueiramente,Uso corriqueiramente,Apenas ouvi falar,Desconheço,Desconheço,Desconheço,Desconheço,Desconheço,Com frequência,Esporadicamente,Esporadicamente,Esporadicamente,"Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade",Com frequência,Com frequência,"Nunca usei, mas tenho curiosidade",Esporadicamente,"Nunca usei, mas tenho curiosidade",Com frequência,Esporadicamente,Esporadicamente,Nunca usei e não pretendo,,Prefiro não opinar ,"Acredito que vai potencializar as habilidades e capacidades humanas, Vejo com bons olhos a adoção ampla de IA nas atividades humanas, Vejo com bons olhos a adoção de IA nas atividades humanas, mas mantendo certa desconfiança","Ética, Segurança e privacidade, Impacto na pesquisa, Impacto na qualidade de ensino, Eventos explicando melhor a tecnologia, em termos técnicos"
10/04/2025 17:40:38,Estudante de graduação,Serviço Social,,,,Uso esporadicamente,Uso corriqueiramente,Apenas ouvi falar,Desconheço,Desconheço,Desconheço,Desconheço,Desconheço,Com frequência,Esporadicamente,Esporadicamente,Esporadicamente,Esporadicamente,Com frequência,Esporadicamente,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,,Entendo IA como uma tecnologia desenvolvida para auxiliar os seres humanos em suas atividades cotidianas.,"Acredito que é algo que veio para ficar, Acredito que é uma ameaça à qualidade do aprendizado humano, Acredito que é uma ameaça ao trabalho humano","Impactos ambientais, Ética, Segurança e privacidade, Impacto na pesquisa, Impacto na qualidade de ensino"
10/04/2025 17:51:33,Estudante de graduação,Serviço Social,,,,Incorporei ao meu dia-a-dia,Uso corriqueiramente,Apenas ouvi falar,Apenas ouvi falar,Apenas ouvi falar,Apenas ouvi falar,Uso corriqueiramente,Apenas ouvi falar,Sempre,Com frequência,Com frequência,Com frequência,Com frequência,Com frequência,Sempre,Esporadicamente,Esporadicamente,Nunca usei e não pretendo,Nunca usei e não pretendo,Esporadicamente,Esporadicamente,Nunca usei e não pretendo,Nunca usei e não pretendo,,prefiro não opinar,"Acredito que é algo que veio para ficar, Acredito que vai potencializar as habilidades e capacidades humanas, Vejo com bons olhos a adoção de IA nas atividades humanas, mas mantendo certa desconfiança","Segurança e privacidade, Impacto na pesquisa, Impacto na qualidade de ensino, Eventos explicando melhor a tecnologia, em termos técnicos"
10/04/2025 18:15:15,Estudante de graduação,Agronomia,,,,Uso corriqueiramente,Uso corriqueiramente,Uso corriqueiramente,Desconheço,Desconheço,Desconheço,Desconheço,Desconheço,Esporadicamente,Sempre,Com frequência,Esporadicamente,Esporadicamente,Com frequência,Sempre,Sempre,Nunca usei e não pretendo,Sempre,Nunca usei e não pretendo,Nunca usei e não pretendo,Sempre,Sempre,Nunca usei e não pretendo,,prefiro não opinar,Acredito que é uma ameaça à qualidade do aprendizado humano,"Ética, Impacto na pesquisa, Impacto na qualidade de ensino"
10/04/2025 18:33:09,Estudante de graduação,Agronomia,,,,Uso corriqueiramente,Uso corriqueiramente,Somente testei,Desconheço,Desconheço,Desconheço,Desconheço,Desconheço,Com frequência,Esporadicamente,Com frequência,Esporadicamente,Sempre,Com frequência,Esporadicamente,"Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade",Sempre,"Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade",,.,"Acredito que é algo que veio para ficar, Acredito que vai potencializar as habilidades e capacidades humanas, Vejo com bons olhos a adoção ampla de IA nas atividades humanas","Ética, Segurança e privacidade, Impacto na pesquisa, Impacto na qualidade de ensino, Eventos explicando melhor a tecnologia, em termos técnicos"
10/04/2025 18:42:23,Estudante de graduação,Cooperativismo,,,,Incorporei ao meu dia-a-dia,Uso corriqueiramente,Somente testei,Desconheço,Desconheço,Desconheço,Desconheço,Apenas ouvi falar,Com frequência,Com frequência,Com frequência,Esporadicamente,Esporadicamente,Com frequência,Com frequência,Esporadicamente,Esporadicamente,Com frequência,Esporadicamente,Esporadicamente,Esporadicamente,Esporadicamente,Esporadicamente,,"inteligência que auxilia no dia a dia de quem sabe usa-la, acho que ela auxilia muito no meio acadêmico se souber fazer os comandos e pedir com cautela ","Acredito que é algo que veio para ficar, Acredito que é uma ameaça à qualidade do aprendizado humano, Vejo com bons olhos a adoção ampla de IA nas atividades humanas","Segurança e privacidade, Impacto na qualidade de ensino, Eventos explicando melhor a tecnologia, em termos técnicos"
10/04/2025 19:09:34,Estudante de graduação,Serviço Social,,,,Nunca usei e não pretendo usar,Apenas ouvi falar,Apenas ouvi falar,Desconheço,Desconheço,Desconheço,Desconheço,Desconheço,,,,,,,,,,,,,,,,,Plágio.,Tenho receio ou medo desta tecnologia,Impacto na qualidade de ensino
10/04/2025 19:13:21,Estudante de graduação,Zootecnia,,,,Uso esporadicamente,"Somente testei, Uso corriqueiramente",Apenas ouvi falar,Desconheço,Desconheço,Apenas ouvi falar,Desconheço,Desconheço,Com frequência,Esporadicamente,Com frequência,Nunca usei e não pretendo,Com frequência,"Nunca usei, mas tenho curiosidade",Esporadicamente,"Nunca usei, mas tenho curiosidade",Nunca usei e não pretendo,"Nunca usei, mas tenho curiosidade",Nunca usei e não pretendo,Nunca usei e não pretendo,Esporadicamente,Esporadicamente,Nunca usei e não pretendo,"Não gosto de utilizar IA para fazer tarefas e trabalhos por não ser uma fonte confiável, também tem o fator de plágio, já que a IA apenas fórmula texto com trechos de autores e raramente deixa suas fontes. Entretanto, uso a IA para o auxílio em atividades, apenas buscando uma inspiração para conseguir dar um ponta pé em meus trabalhos e atividades, também gosto de resumir textos para otimizar a leitura. 
Na minha opinião a IA deve ser usada como um auxílio, uma maneira de me ajudar e não algo para em substituir.","Atualmente a IA ainda está dando seus primeiros passos no mercado e já demonstra ser uma ameaça ao meio ambiente. Além disso, muitas pessoas confiam cegamente na IA, não buscando suas fontes. A IA pode ser sim uma grande ajuda em nosso dia a dia, mas infelizmente poucas pessoas se preocupem em verdadeiramente buscar conhecimento.","Tenho receio ou medo desta tecnologia, Acredito que é algo que veio para ficar, Acredito que é uma ameaça à qualidade do aprendizado humano, Acredito que é uma ameaça ao trabalho humano, Minha desconfiança é total","Impactos ambientais, Ética, Impacto na pesquisa, Impacto na qualidade de ensino"
10/04/2025 19:33:21,Estudante de graduação,Medicina Veterinária,,,,Nunca usei e não pretendo usar,Apenas ouvi falar,Apenas ouvi falar,Desconheço,Desconheço,Desconheço,Desconheço,Apenas ouvi falar,,,,,,,,,,,,,,,,,"Uma ferramenta que agiliza a busca de resultados tanto na Internet, quanto de outras situações expostas pelo usuário baseado em dados ofertados anteriormente a ela","Acredito que é algo que veio para ficar, Acredito que é uma ameaça à qualidade do aprendizado humano, Vejo com bons olhos a adoção de IA nas atividades humanas, mas mantendo certa desconfiança","Ética, Impacto na qualidade de ensino"
10/04/2025 19:54:48,Estudante de graduação,Zootecnia,,,,Nunca usei e não pretendo usar,Somente testei,Somente testei,Desconheço,Desconheço,Desconheço,Apenas ouvi falar,Desconheço,,,,,,,,,,,,,,,,,Prefiro não opinar,"Acredito que é uma ameaça à qualidade do aprendizado humano, Acredito que é uma ameaça ao trabalho humano","Ética, Segurança e privacidade, Impacto na qualidade de ensino"
10/04/2025 20:46:28,Estudante de graduação,Agronegócio,,,,Uso esporadicamente,Somente testei,Somente testei,Desconheço,Desconheço,Desconheço,Desconheço,Desconheço,Sempre,"Nunca usei, mas tenho curiosidade",Sempre,Esporadicamente,Esporadicamente,Esporadicamente,Com frequência,Sempre,Sempre,Com frequência,Esporadicamente,Esporadicamente,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,,Algo que trará muitos benefícios.,Acredito que vai potencializar as habilidades e capacidades humanas,"Impacto na qualidade de ensino, Eventos explicando melhor a tecnologia, em termos técnicos"
10/04/2025 21:49:22,Estudante de graduação,Serviço Social,,,,Uso esporadicamente,Uso corriqueiramente,Uso corriqueiramente,Somente testei,Desconheço,Desconheço,Desconheço,Desconheço,Com frequência,Com frequência,Nunca usei e não pretendo,Nunca usei e não pretendo,Com frequência,Nunca usei e não pretendo,Com frequência,Com frequência,Com frequência,Com frequência,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,,"A inteligência artificial foi criada com o intuito de se simular ao Google trazendo informações, acho que o uso dela para o lado bom dos estudos como a informação etc é essencial , mas como cópia é ruim .",Acredito que vai potencializar as habilidades e capacidades humanas,"Eventos explicando melhor a tecnologia, em termos técnicos"
10/04/2025 22:16:34,Estudante de graduação,Agronomia,,,,Incorporei ao meu dia-a-dia,Uso corriqueiramente,Somente testei,Desconheço,Apenas ouvi falar,"Desconheço, Apenas ouvi falar",Apenas ouvi falar,Desconheço,Com frequência,Esporadicamente,Esporadicamente,Esporadicamente,Sempre,Com frequência,Com frequência,Esporadicamente,Esporadicamente,Sempre,Esporadicamente,Sempre,Esporadicamente,"Nunca usei, mas tenho curiosidade",Esporadicamente,"Uso da ferramenta para o professor formulário perguntas para estudos dirigidos e A inteligência artificial pode ajudar professores a criar questionários de forma rápida e personalizada, com base no conteúdo trabalhado em aula. Isso facilita a revisão dos alunos, promove o estudo ativo e permite adaptar as perguntas ao nível de cada turma.",Uma ferramenta que auxilia nossos trabalhos ,"Acredito que é algo que veio para ficar, Acredito que vai potencializar as habilidades e capacidades humanas, Vejo com bons olhos a adoção ampla de IA nas atividades humanas, Vejo com bons olhos a adoção de IA nas atividades humanas, mas mantendo certa desconfiança","Impactos ambientais, Ética, Segurança e privacidade, Impacto na pesquisa, Impacto na qualidade de ensino, Eventos explicando melhor a tecnologia, em termos técnicos"
10/04/2025 23:41:03,Estudante de graduação,Zootecnia,,,,Uso esporadicamente,Uso corriqueiramente,Somente testei,Somente testei,Desconheço,Desconheço,Desconheço,Desconheço,Com frequência,Esporadicamente,Esporadicamente,Nunca usei e não pretendo,Sempre,"Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade",Nunca usei e não pretendo,Nunca usei e não pretendo,Esporadicamente,Nunca usei e não pretendo,"Nunca usei, mas tenho curiosidade",Esporadicamente,"Nunca usei, mas tenho curiosidade",Nunca usei e não pretendo,,são robôs programados para oferecer a resposta que buscamos com bases em dados retirados de diversas fontes da internet e livros.,"Acredito que é algo que veio para ficar, Acredito que é uma ameaça à qualidade do aprendizado humano, Vejo com bons olhos a adoção de IA nas atividades humanas, mas mantendo certa desconfiança","Eventos explicando melhor a tecnologia, em termos técnicos"
11/04/2025 00:29:23,Estudante de graduação,Agronomia,,,,Uso corriqueiramente,Uso corriqueiramente,Somente testei,Desconheço,Desconheço,Desconheço,Desconheço,Desconheço,Com frequência,Com frequência,Esporadicamente,Esporadicamente,Com frequência,"Nunca usei, mas tenho curiosidade",Com frequência,Com frequência,Nunca usei e não pretendo,Esporadicamente,Nunca usei e não pretendo,Nunca usei e não pretendo,Esporadicamente,Esporadicamente,Nunca usei e não pretendo,,"É uma ferramenta que se souber utilizar pode ser bem útil. Capaz de abordar vários conteúdos de forma rápida, inteligente e muitas vezes eficazes e precisas como o chat gpt. Utilizo muito para fazer resumos, mas sempre jogando corretamente palavras chaves e pedindo para extrair as informações de fontes confiáveis. Depois comparo com o texto ou resumo criado pela IA, com as fontes nos sites e vejo se está relacionado ou extraído da forma correta. Ajuda a estudar demais, e direciona. Da pra aprender bastante coisa por la. Mas se direcionar a IA a funcionar corretamente. ",Acredito que vai potencializar as habilidades e capacidades humanas,"Ética, Impacto na qualidade de ensino, Eventos explicando melhor a tecnologia, em termos técnicos"
11/04/2025 05:40:34,Estudante de graduação,Serviço Social,,,,Incorporei ao meu dia-a-dia,Uso corriqueiramente,Somente testei,Desconheço,Desconheço,Desconheço,Desconheço,Desconheço,Sempre,Nunca usei e não pretendo,Sempre,Esporadicamente,Nunca usei e não pretendo,"Nunca usei, mas tenho curiosidade",Sempre,Nunca usei e não pretendo,Sempre,Sempre,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,,N,Acredito que vai potencializar as habilidades e capacidades humanas,Impacto na qualidade de ensino
11/04/2025 08:16:01,Estudante de graduação,Serviço Social,,,,Uso corriqueiramente,Uso corriqueiramente,Desconheço,Desconheço,Desconheço,Desconheço,Apenas ouvi falar,Desconheço,Sempre,Sempre,Sempre,Nunca usei e não pretendo,Sempre,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,,Evolução de um projeto automatizado,Vejo com bons olhos a adoção ampla de IA nas atividades humanas,Ética
11/04/2025 08:35:50,Estudante de graduação,Administração,,,,Incorporei ao meu dia-a-dia,Uso corriqueiramente,Apenas ouvi falar,Desconheço,Somente testei,Apenas ouvi falar,Somente testei,Apenas ouvi falar,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,,IA veio para para potencializar as habilidades e capacidades humanas.,"Acredito que vai potencializar as habilidades e capacidades humanas, Vejo com bons olhos a adoção ampla de IA nas atividades humanas","Impacto na pesquisa, Impacto na qualidade de ensino, Eventos explicando melhor a tecnologia, em termos técnicos"
11/04/2025 09:12:09,Estudante de graduação,Agronegócio,,,,"Nunca usei, mas pretendo",Apenas ouvi falar,Apenas ouvi falar,Desconheço,Desconheço,Desconheço,Apenas ouvi falar,Desconheço,,,,,,,,,,,,,,,,,uma ferramenta com alto nível de dados e informações.,Acredito que é algo que veio para ficar,Impacto na qualidade de ensino
11/04/2025 09:41:33,Estudante de graduação,Pedagogia,,,,Uso corriqueiramente,Uso corriqueiramente,Somente testei,Somente testei,Apenas ouvi falar,Apenas ouvi falar,Apenas ouvi falar,Somente testei,Nunca usei e não pretendo,Esporadicamente,Esporadicamente,Esporadicamente,Com frequência,Esporadicamente,Esporadicamente,Esporadicamente,Esporadicamente,Sempre,"Nunca usei, mas tenho curiosidade",Nunca usei e não pretendo,Esporadicamente,Esporadicamente,Esporadicamente,,"São ferramentas caracterizadas por serem códigos inteligentes que facilitam o cumprimento de certas tarefas. Entretanto, o uso indevido dessas IA's pode comprometer o aprendizado do aluno e seu futuro como profissional","Tenho receio ou medo desta tecnologia, Acredito que é algo que veio para ficar, Acredito que é uma ameaça à qualidade do aprendizado humano","Impactos ambientais, Ética, Segurança e privacidade, Impacto na pesquisa, Impacto na qualidade de ensino, Eventos explicando melhor a tecnologia, em termos técnicos"
11/04/2025 12:01:01,Estudante de graduação,Zootecnia,,,,Incorporei ao meu dia-a-dia,Assino o serviço pago (se houver),Uso corriqueiramente,Apenas ouvi falar,Apenas ouvi falar,Assino o serviço pago (se houver),Uso corriqueiramente,Uso corriqueiramente,Com frequência,Com frequência,Sempre,Com frequência,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,"Nunca usei, mas tenho curiosidade",Sempre,Sempre,Sempre,Com frequência,"Uso para entender e expandir a razão lógica do conhecimento que é a multidisciplinaridade. A ferramenta me fornece entender mais e expandir o conhecimento aprendendo o tempo todo onde as vezes eu esqueço. Então se torna uma ferramenta de ensino. Uso também para ""igualar"" as horas que não posso me dedicar exclusivamente ao ensino, já que preciso trabalhar. Fiz as contas e em média, mensalmente eu tenho 126 horas a menos que alunos que não precisam trabalhar (posso mostrar os cálculos) então a IA me ajuda em me tornar eficientemente mais produtivo para compensar essas horas. 
Uso também IA para avançar em aprender e estar sempre atualizado as necessidades e os avanços da tecnologia no mercado de trabalho para me tornar um profissional mais produtivo, e competitivo frente aos meus outros colegas. E como é uma tecnologia do presente o seu conhecimento é fundamental para o mundo globalizado ao qual vivemos. ","IA é um campo dentro do grande campo da programação que busca simular o modo que o cérebro humano funciona. É uma ferramenta. Como um martelo, uma chave de fenda, só que nesse caso hoje em dia ela já consegue falar por que a programamos para isso. Como uma ferramenta deve ser usada, assim como foi a roda, o martelo, e sei lá, os carros. É um auxílio para o progresso. E como toda mudança causa medo. Mas sem a mudança não teríamos carta Voadores como já temos hoje na china! ","Acredito que é algo que veio para ficar, Acredito que vai potencializar as habilidades e capacidades humanas, Vejo com bons olhos a adoção ampla de IA nas atividades humanas","Impactos ambientais, Ética, Segurança e privacidade, Impacto na pesquisa, Impacto na qualidade de ensino, Eventos explicando melhor a tecnologia, em termos técnicos"
11/04/2025 12:26:09,Estudante de graduação,Serviço Social,,,,Uso esporadicamente,Uso corriqueiramente,Apenas ouvi falar,Desconheço,Desconheço,Desconheço,Desconheço,Apenas ouvi falar,Esporadicamente,Esporadicamente,"Nunca usei, mas tenho curiosidade",Esporadicamente,Com frequência,"Nunca usei, mas tenho curiosidade",Com frequência,"Nunca usei, mas tenho curiosidade",Nunca usei e não pretendo,"Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade",Nunca usei e não pretendo,Nunca usei e não pretendo,"Nunca usei, mas tenho curiosidade",,"Ferramenta que auxilia nas atividades acadêmicas, tanto como ensino e aprendizagem, e também para atividades desempenhadas em ambientes de trabalho.","Acredito que é algo que veio para ficar, Vejo com bons olhos a adoção de IA nas atividades humanas, mas mantendo certa desconfiança","Impactos ambientais, Ética, Segurança e privacidade, Impacto na pesquisa, Impacto na qualidade de ensino"
11/04/2025 14:50:07,Estudante de graduação,Arquitetura e Urbanismo,,,,Uso corriqueiramente,Uso corriqueiramente,Apenas ouvi falar,Somente testei,Desconheço,Desconheço,Apenas ouvi falar,Desconheço,Com frequência,Esporadicamente,Esporadicamente,Esporadicamente,Sempre,Com frequência,Esporadicamente,Esporadicamente,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,"Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade",Nunca usei e não pretendo,"Nunca usei, mas tenho curiosidade",,"Programas que podem realizar e otimizar trabalhos que até então eram restritos aos seres humanos, gerando informações e imagens com rapidez.","Acredito que vai potencializar as habilidades e capacidades humanas, Acredito que é uma ameaça à qualidade do aprendizado humano, Acredito que é uma ameaça ao trabalho humano, Vejo com bons olhos a adoção de IA nas atividades humanas, mas mantendo certa desconfiança","Impactos ambientais, Ética, Segurança e privacidade, Impacto na pesquisa, Impacto na qualidade de ensino, Eventos explicando melhor a tecnologia, em termos técnicos"
11/04/2025 17:19:30,Estudante de graduação,Serviço Social,,,,Uso esporadicamente,Somente testei,Desconheço,Somente testei,Desconheço,Desconheço,Uso corriqueiramente,Desconheço,Esporadicamente,"Nunca usei, mas tenho curiosidade",Esporadicamente,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,Esporadicamente,Esporadicamente,Nunca usei e não pretendo,Com frequência,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,,Uma ferramenta para auxiliar nas tarefas que precisamos fazer,Tenho receio ou medo desta tecnologia,"Ética, Segurança e privacidade, Impacto na pesquisa, Impacto na qualidade de ensino, Eventos explicando melhor a tecnologia, em termos técnicos"
11/04/2025 20:45:34,Estudante de graduação,Agronomia,,,,Uso corriqueiramente,Uso corriqueiramente,Somente testei,Apenas ouvi falar,Desconheço,Desconheço,Apenas ouvi falar,Desconheço,Nunca usei e não pretendo,"Nunca usei, mas tenho curiosidade",Nunca usei e não pretendo,Nunca usei e não pretendo,"Nunca usei, mas tenho curiosidade",Nunca usei e não pretendo,"Nunca usei, mas tenho curiosidade",Nunca usei e não pretendo,Nunca usei e não pretendo,"Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade",Esporadicamente,Esporadicamente,Esporadicamente,Nunca usei e não pretendo,,Prefiro não opinar ,Não tenho opinião formada,"Impactos ambientais, Ética, Impacto na qualidade de ensino"
